Reconstruction lambda,SNR,Data length,Log MSE on Weights
1.5,100,1,Ill-conditioned
1.5,100,2,Ill-conditioned
1.5,100,3,Ill-conditioned
1.5,100,4,Ill-conditioned
1.5,100,5,Ill-conditioned
1.5,100,6,Ill-conditioned
1.5,100,7,Ill-conditioned
1.5,100,8,Ill-conditioned
1.5,100,9,Ill-conditioned
1.5,100,10,Ill-conditioned
1.5,100,11,Ill-conditioned
1.5,100,12,Ill-conditioned
1.5,100,13,Ill-conditioned
1.5,100,14,Ill-conditioned
1.5,100,15,Ill-conditioned
1.5,100,16,Ill-conditioned
1.5,100,17,Ill-conditioned
1.5,100,18,Ill-conditioned
1.5,100,19,Ill-conditioned
1.5,100,20,Ill-conditioned
1.5,100,21,Ill-conditioned
1.5,100,22,Ill-conditioned
1.5,100,23,Ill-conditioned
1.5,100,24,Ill-conditioned
1.5,100,25,Ill-conditioned
1.5,100,26,Ill-conditioned
1.5,100,27,Ill-conditioned
1.5,100,28,Ill-conditioned
1.5,100,29,Ill-conditioned
1.5,100,30,Ill-conditioned
1.5,100,31,Ill-conditioned
1.5,100,32,Ill-conditioned
1.5,100,33,Ill-conditioned
1.5,100,34,Ill-conditioned
