Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,60,0.0072935
0.005,1000,70,0.0011639
0.005,1000,80,0.0011566
0.005,1000,90,0.0011902
0.005,1000,100,0.0012073
0.005,1000,1,1.0546
0.005,1000,10,2.6644
0.005,1000,20,3.0782
0.005,1000,30,2.5246
0.005,1000,40,2.795
0.005,1000,50,2.6734
0.005,1000,60,2.2087
0.005,1000,70,2.6941
0.005,1000,80,3.2473
0.005,1000,90,3.2827
0.005,1000,100,3.3133
0.005,1000,1,1.0332
0.005,1000,10,60.9677
0.005,1000,20,1.2703
0.005,1000,30,0.99757
0.005,1000,40,0.99583
0.005,1000,50,0.99573
0.005,1000,60,0.99572
0.005,1000,70,0.0028508
0.005,1000,80,0.00305
0.005,1000,90,0.0031105
0.005,1000,100,0.73317
0.005,1000,1,1.0519
0.005,1000,10,3.1709
0.005,1000,20,0.97323
0.005,1000,30,0.82779
0.005,1000,40,0.0026712
0.005,1000,50,0.0015852
0.005,1000,60,0.00091305
0.005,1000,70,8.0767e-05
0.005,1000,80,0.00011086
0.005,1000,90,8.9252e-05
0.005,1000,100,0.00011034
0.005,1000,1,1.018
0.005,1000,10,1.1378
0.005,1000,20,1.0001
0.005,1000,30,1.0045
0.005,1000,40,0.95421
0.005,1000,50,0.79802
0.005,1000,60,0.00057206
0.005,1000,70,6.2332e-05
0.005,1000,80,6.0063e-05
0.005,1000,90,6.5011e-05
0.005,1000,100,7.5441e-05
0.005,1000,1,1.0171
0.005,1000,10,1.0002
0.005,1000,20,1.609
0.005,1000,30,0.181
0.005,1000,40,0.00021101
0.005,1000,50,0.00048497
0.005,1000,60,6.9556e-05
0.005,1000,70,3.9392e-05
0.005,1000,80,3.2814e-05
0.005,1000,90,2.3422e-05
0.005,1000,100,2.0724e-05
0.005,1000,1,1.0616
0.005,1000,10,9.9847
0.005,1000,20,1.8377
0.005,1000,30,1.0548
0.005,1000,40,0.60193
0.005,1000,50,0.029303
0.005,1000,60,0.01152
0.005,1000,70,0.015422
0.005,1000,80,0.017067
0.005,1000,90,0.013816
0.005,1000,100,0.013889
0.005,1000,1,1.0289
0.005,1000,10,5.8678
0.005,1000,20,4.6351
0.005,1000,30,0.60771
0.005,1000,40,0.89419
0.005,1000,50,0.0029202
0.005,1000,60,0.0031239
0.005,1000,70,0.0027487
0.005,1000,80,0.002791
0.005,1000,90,0.0028116
0.005,1000,100,0.0027964
0.005,1000,1,1.0126
0.005,1000,10,15.1468
0.005,1000,20,0.91126
0.005,1000,30,0.90218
0.005,1000,40,0.27649
0.005,1000,50,0.0040669
0.005,1000,60,0.0041221
0.005,1000,70,0.0041531
0.005,1000,80,0.0042377
0.005,1000,90,0.0042219
0.005,1000,100,0.0044681
0.005,1000,1,1
0.005,1000,10,9.9026
0.005,1000,20,0.93803
0.005,1000,30,0.27671
0.005,1000,40,0.020686
0.005,1000,50,0.00033594
0.005,1000,60,0.00010986
0.005,1000,70,0.0001268
0.005,1000,80,0.00011667
0.005,1000,90,0.00011091
0.005,1000,100,0.00010656
0.005,1000,1,1.0443
0.005,1000,10,2.1985
0.005,1000,20,4.7957
0.005,1000,30,3.7552
0.005,1000,40,2.3602
0.005,1000,50,1.9373
0.005,1000,60,1.879
0.005,1000,70,1.8646
0.005,1000,80,1.854
0.005,1000,90,1.8463
0.005,1000,100,1.8404
