Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,29,7.1104
0.005,1000,30,7.3271
0.005,1000,31,7.5448
0.005,1000,32,7.6394
0.005,1000,33,7.625
0.005,1000,34,7.6101
0.005,1000,35,7.5841
0.005,1000,36,8.0216
0.005,1000,37,8.359
0.005,1000,38,9.1223
0.005,1000,39,9.0201
0.005,1000,40,8.481
0.005,1000,41,8.4113
0.005,1000,42,7.8255
0.005,1000,43,8.2298
0.005,1000,44,8.0519
0.005,1000,45,8.3904
0.005,1000,46,8.3784
0.005,1000,47,8.3831
0.005,1000,48,8.3744
0.005,1000,49,8.3428
0.005,1000,50,8.4624
0.005,1000,51,8.3141
0.005,1000,52,8.2999
0.005,1000,53,2.0758
0.005,1000,54,2.0855
0.005,1000,55,2.0855
0.005,1000,56,2.0859
0.005,1000,57,2.0854
0.005,1000,58,2.0826
0.005,1000,59,2.0915
0.005,1000,60,2.1134
0.005,1000,61,2.1298
0.005,1000,62,2.144
0.005,1000,63,2.1546
0.005,1000,64,2.165
0.005,1000,65,2.1459
0.005,1000,66,1.868
0.005,1000,67,1.5399
0.005,1000,68,1.54
0.005,1000,69,1.5403
0.005,1000,70,1.5404
0.005,1000,71,1.5864
0.005,1000,72,1.6355
0.005,1000,73,1.6624
0.005,1000,74,1.681
0.005,1000,75,1.6921
0.005,1000,76,1.6965
0.005,1000,77,1.6984
0.005,1000,78,1.692
0.005,1000,79,1.6724
0.005,1000,80,1.6467
0.005,1000,81,1.6212
0.005,1000,82,1.6022
0.005,1000,83,1.5892
0.005,1000,84,1.5774
0.005,1000,85,1.5645
0.005,1000,86,1.5467
0.005,1000,87,1.541
0.005,1000,88,1.541
0.005,1000,89,1.5411
0.005,1000,90,1.5411
0.005,1000,91,1.5411
0.005,1000,92,1.5411
0.005,1000,93,1.5411
0.005,1000,94,1.5412
0.005,1000,95,1.5408
0.005,1000,96,1.5395
0.005,1000,97,1.5381
0.005,1000,98,1.5366
0.005,1000,99,1.5343
0.005,1000,100,1.5347
0.005,1000,1,1.0117
0.005,1000,2,128.5901
0.005,1000,3,9.9909
0.005,1000,4,4.3913
0.005,1000,5,5.509
0.005,1000,6,34.819
0.005,1000,7,39.0171
0.005,1000,8,55.8716
0.005,1000,9,14.6701
0.005,1000,10,3.0918
0.005,1000,11,3.8894
0.005,1000,12,1.3287
0.005,1000,13,1.3306
0.005,1000,14,1.3081
0.005,1000,15,1.1604
0.005,1000,16,4.6511
0.005,1000,17,4.0243
0.005,1000,18,4.2261
0.005,1000,19,1.9666
0.005,1000,20,1.39
0.005,1000,21,1.2525
0.005,1000,22,1.2122
0.005,1000,23,1.3262
0.005,1000,24,1.8321
0.005,1000,25,1.6099
0.005,1000,26,1.701
0.005,1000,27,9.9513
0.005,1000,28,5.3963
0.005,1000,29,1.1183
0.005,1000,30,1.1119
0.005,1000,31,1.1116
0.005,1000,32,0.81552
0.005,1000,33,0.81725
0.005,1000,34,0.81864
0.005,1000,35,0.81892
0.005,1000,36,0.85667
0.005,1000,37,1.0659
0.005,1000,38,1.1249
0.005,1000,39,1.2847
0.005,1000,40,1.6075
0.005,1000,41,1.8081
0.005,1000,42,2.0048
0.005,1000,43,2.1234
0.005,1000,44,2.154
0.005,1000,45,1.9926
0.005,1000,46,1.0995
0.005,1000,47,1.0486
0.005,1000,48,1.0047
0.005,1000,49,1.0048
0.005,1000,50,1.0109
0.005,1000,51,1.0136
0.005,1000,52,1.0117
0.005,1000,53,1.0092
0.005,1000,54,1.0083
0.005,1000,55,1.0083
0.005,1000,56,1.0084
0.005,1000,57,1.0087
0.005,1000,58,1.0089
0.005,1000,59,1.0092
0.005,1000,60,1.01
0.005,1000,61,1.0107
0.005,1000,62,1.0108
0.005,1000,63,1.0091
0.005,1000,64,1.0081
0.005,1000,65,1.0086
0.005,1000,66,1.0088
0.005,1000,67,1.0092
0.005,1000,68,1.0088
0.005,1000,69,1.0092
0.005,1000,70,1.283
0.005,1000,71,0.00018187
0.005,1000,72,0.00017076
0.005,1000,73,1.7648
0.005,1000,74,1.8546
0.005,1000,75,0.00015623
0.005,1000,76,0.00015613
0.005,1000,77,0.00015072
0.005,1000,78,0.00014639
0.005,1000,79,0.00013521
0.005,1000,80,0.00013598
0.005,1000,81,0.00013534
0.005,1000,82,0.00013763
0.005,1000,83,0.00014067
0.005,1000,84,0.00014075
0.005,1000,85,0.00014083
0.005,1000,86,0.00014086
0.005,1000,87,0.00014081
0.005,1000,88,0.00014092
0.005,1000,89,0.00014048
0.005,1000,90,0.00014053
0.005,1000,91,0.00014062
0.005,1000,92,0.00014071
0.005,1000,93,0.00014085
0.005,1000,94,0.00014075
0.005,1000,95,0.00014105
0.005,1000,96,0.00014107
0.005,1000,97,0.00014101
0.005,1000,98,0.000141
0.005,1000,99,0.00014102
0.005,1000,100,0.00014105
0.005,1000,1,1.0114
0.005,1000,2,3.4827
0.005,1000,3,7.4974
0.005,1000,4,7.648
0.005,1000,5,1.095
0.005,1000,6,3.7899
0.005,1000,7,1.0185
0.005,1000,8,1.1193
0.005,1000,9,38.8342
0.005,1000,10,44.0773
0.005,1000,11,36.0672
0.005,1000,12,300.6812
0.005,1000,13,328.6701
0.005,1000,14,377.3283
0.005,1000,15,454.2851
0.005,1000,16,48.9829
0.005,1000,17,212.0303
0.005,1000,18,0.93269
0.005,1000,19,1.5533
0.005,1000,20,1.6342
0.005,1000,21,1.6315
0.005,1000,22,1.5928
0.005,1000,23,1.572
0.005,1000,24,1.5651
0.005,1000,25,1.5683
0.005,1000,26,1.5484
0.005,1000,27,1.0308
0.005,1000,28,1.0227
0.005,1000,29,0.94871
0.005,1000,30,0.83826
0.005,1000,31,0.8549
0.005,1000,32,0.87496
0.005,1000,33,1.206
0.005,1000,34,0.90956
0.005,1000,35,0.92114
0.005,1000,36,0.94813
0.005,1000,37,0.96029
0.005,1000,38,0.93677
0.005,1000,39,0.90877
0.005,1000,40,0.89705
0.005,1000,41,0.85713
0.005,1000,42,0.84929
0.005,1000,43,0.83178
0.005,1000,44,0.83164
0.005,1000,45,0.83146
0.005,1000,46,0.57211
0.005,1000,47,0.57356
0.005,1000,48,0.57888
0.005,1000,49,0.83582
0.005,1000,50,0.82201
0.005,1000,51,0.7923
0.005,1000,52,0.80003
0.005,1000,53,0.83228
0.005,1000,54,0.59854
0.005,1000,55,0.60108
0.005,1000,56,0.60378
0.005,1000,57,0.60662
0.005,1000,58,0.59786
0.005,1000,59,0.58411
0.005,1000,60,0.5334
0.005,1000,61,0.42251
0.005,1000,62,0.39596
0.005,1000,63,0.44018
0.005,1000,64,0.40161
0.005,1000,65,0.38518
0.005,1000,66,0.35926
0.005,1000,67,0.47785
0.005,1000,68,0.57964
0.005,1000,69,0.020202
0.005,1000,70,0.020214
0.005,1000,71,0.020226
0.005,1000,72,0.020239
0.005,1000,73,0.02026
0.005,1000,74,0.020268
0.005,1000,75,0.020278
0.005,1000,76,0.020284
0.005,1000,77,0.020283
0.005,1000,78,0.020282
0.005,1000,79,0.020283
0.005,1000,80,0.020287
0.005,1000,81,0.019668
0.005,1000,82,0.019679
0.005,1000,83,0.020048
0.005,1000,84,0.019982
0.005,1000,85,0.020051
0.005,1000,86,0.020035
0.005,1000,87,0.020038
0.005,1000,88,0.020049
0.005,1000,89,0.020043
0.005,1000,90,0.020043
0.005,1000,91,0.020047
0.005,1000,92,0.020025
0.005,1000,93,0.020028
0.005,1000,94,0.02003
0.005,1000,95,0.020031
0.005,1000,96,0.020032
0.005,1000,97,0.020033
0.005,1000,98,0.020037
0.005,1000,99,0.020042
0.005,1000,100,0.020046
0.005,1000,1,1.0343
0.005,1000,2,8.205
0.005,1000,3,23.9758
0.005,1000,4,3.3157
0.005,1000,5,13.4103
0.005,1000,6,7.8721
0.005,1000,7,22.4723
0.005,1000,8,11.702
0.005,1000,9,11.4741
0.005,1000,10,16.047
0.005,1000,11,12.9272
0.005,1000,12,6.2097
0.005,1000,13,9.7962
0.005,1000,14,2.3712
0.005,1000,15,3.5825
0.005,1000,16,2.5377
0.005,1000,17,3.4098
0.005,1000,18,1.5362
0.005,1000,19,1.0533
0.005,1000,20,1.0419
0.005,1000,21,1.0419
0.005,1000,22,1.0419
0.005,1000,23,1.0418
0.005,1000,24,1.064
0.005,1000,25,1.073
0.005,1000,26,1.0728
0.005,1000,27,1.0735
0.005,1000,28,1.0759
0.005,1000,29,1.0766
0.005,1000,30,1.0746
0.005,1000,31,1.0721
0.005,1000,32,1.0657
0.005,1000,33,1.0542
0.005,1000,34,1.3598
0.005,1000,35,1.5269
0.005,1000,36,1.4286
0.005,1000,37,1.797
0.005,1000,38,1.5649
0.005,1000,39,2.9613
0.005,1000,40,3.0253
0.005,1000,41,5.1059
0.005,1000,42,0.99004
0.005,1000,43,0.99688
0.005,1000,44,8.2614
0.005,1000,45,7.2178
0.005,1000,46,8.6165
0.005,1000,47,8.7602
0.005,1000,48,8.3391
0.005,1000,49,7.5446
0.005,1000,50,6.3068
0.005,1000,51,6.0469
0.005,1000,52,1.6142
0.005,1000,53,4.7914
0.005,1000,54,0.43297
0.005,1000,55,0.42158
0.005,1000,56,0.07671
0.005,1000,57,0.076721
0.005,1000,58,0.076877
0.005,1000,59,0.077016
0.005,1000,60,0.077264
0.005,1000,61,0.077556
0.005,1000,62,0.077892
0.005,1000,63,0.077989
0.005,1000,64,0.078074
0.005,1000,65,0.078453
0.005,1000,66,0.078605
0.005,1000,67,0.078811
0.005,1000,68,0.078911
0.005,1000,69,0.078953
0.005,1000,70,0.078974
0.005,1000,71,0.079
0.005,1000,72,0.079015
0.005,1000,73,0.079036
0.005,1000,74,0.079056
0.005,1000,75,1.1405
0.005,1000,76,1.1499
0.005,1000,77,1.1571
0.005,1000,78,0.079122
0.005,1000,79,0.07913
0.005,1000,80,0.079138
0.005,1000,81,0.079146
0.005,1000,82,0.079157
0.005,1000,83,0.079166
0.005,1000,84,0.079171
0.005,1000,85,0.079166
0.005,1000,86,0.07918
0.005,1000,87,0.079196
0.005,1000,88,0.079182
0.005,1000,89,0.07917
