Reconstruction lambda,SNR,Data length,MNSE
0.005,1000,92,0.010543
0.005,1000,93,0.010559
0.005,1000,94,0.010578
0.005,1000,95,0.010584
0.005,1000,96,0.010588
0.005,1000,97,0.010592
0.005,1000,98,0.010594
0.005,1000,99,0.010595
0.005,1000,100,0.010597
0.005,1000,1,1.0057
0.005,1000,2,2.6992
0.005,1000,3,2.484
0.005,1000,4,109.233
0.005,1000,5,6.367
0.005,1000,6,111.7756
0.005,1000,7,110.8523
0.005,1000,8,1.8555
0.005,1000,9,36.4988
0.005,1000,10,365.8053
0.005,1000,11,124.6409
0.005,1000,12,208.9941
0.005,1000,13,7.2941
0.005,1000,14,4.0978
0.005,1000,15,19.4525
0.005,1000,16,27.7583
0.005,1000,17,33.2758
0.005,1000,18,4.2778
0.005,1000,19,5.1941
0.005,1000,20,1.135
0.005,1000,21,4.3556
0.005,1000,22,10.3523
0.005,1000,23,6.8328
0.005,1000,24,1.7294
0.005,1000,25,1.3213
0.005,1000,26,1.1165
0.005,1000,27,8.3832
0.005,1000,28,15.0744
0.005,1000,29,1.113
0.005,1000,30,15.0563
0.005,1000,31,1.1099
0.005,1000,32,1.0576
0.005,1000,33,1.0278
0.005,1000,34,1.9134
0.005,1000,35,1.3148
0.005,1000,36,1.315
0.005,1000,37,1.3096
0.005,1000,38,1.1706
0.005,1000,39,1.2177
0.005,1000,40,1.0008
0.005,1000,41,1.0009
0.005,1000,42,1.0009
0.005,1000,43,1.001
0.005,1000,44,1.0028
0.005,1000,45,1.0033
0.005,1000,46,1.0028
0.005,1000,47,1.0028
0.005,1000,48,0.87121
0.005,1000,49,1.216
0.005,1000,50,0.83476
0.005,1000,51,1.1273
0.005,1000,52,1.1149
0.005,1000,53,0.015089
0.005,1000,54,0.32649
0.005,1000,55,0.34825
0.005,1000,56,0.35502
0.005,1000,57,0.6686
0.005,1000,58,0.68719
0.005,1000,59,0.012757
0.005,1000,60,0.012311
0.005,1000,61,0.012085
0.005,1000,62,0.011787
0.005,1000,63,0.01156
0.005,1000,64,0.79943
0.005,1000,65,1.1756
0.005,1000,66,1.2596
0.005,1000,67,1.2382
0.005,1000,68,0.80075
0.005,1000,69,0.011048
0.005,1000,70,0.01109
0.005,1000,71,0.011048
0.005,1000,72,0.011037
0.005,1000,73,0.011049
0.005,1000,74,0.011053
0.005,1000,75,0.011062
0.005,1000,76,0.011067
0.005,1000,77,0.011071
0.005,1000,78,0.011065
0.005,1000,79,0.011067
0.005,1000,80,0.01107
0.005,1000,81,0.011072
0.005,1000,82,0.011073
0.005,1000,83,0.011076
0.005,1000,84,0.011078
0.005,1000,85,0.011073
0.005,1000,86,0.011071
0.005,1000,87,0.01106
0.005,1000,88,0.011063
0.005,1000,89,0.011064
0.005,1000,90,0.011064
0.005,1000,91,0.011067
0.005,1000,92,0.011069
0.005,1000,93,0.011072
0.005,1000,94,0.011071
0.005,1000,95,0.011073
0.005,1000,96,0.011075
0.005,1000,97,0.011076
0.005,1000,98,0.011075
0.005,1000,99,0.01107
0.005,1000,100,0.011066
0.005,1000,1,0.99874
0.005,1000,2,2.3025
0.005,1000,3,1.364
0.005,1000,4,1.8497
0.005,1000,5,1.8485
0.005,1000,6,1.847
0.005,1000,7,16.5582
0.005,1000,8,16.5341
0.005,1000,9,173.3525
0.005,1000,10,2.1596
0.005,1000,11,2.0536
0.005,1000,12,2.0598
0.005,1000,13,2.0494
0.005,1000,14,1.1476
0.005,1000,15,1.161
0.005,1000,16,1.1722
0.005,1000,17,180.5329
0.005,1000,18,47.6062
0.005,1000,19,20.3868
0.005,1000,20,1.0182
0.005,1000,21,1.016
0.005,1000,22,1.0146
0.005,1000,23,1.0136
0.005,1000,24,0.8642
0.005,1000,25,0.8642
0.005,1000,26,112.4555
0.005,1000,27,11.37
0.005,1000,28,3.256
0.005,1000,29,3.2356
0.005,1000,30,10.3114
0.005,1000,31,10.7626
0.005,1000,32,11.0379
0.005,1000,33,10.6094
0.005,1000,34,0.84955
0.005,1000,35,0.86531
0.005,1000,36,0.87996
0.005,1000,37,1.012
0.005,1000,38,9.4576
0.005,1000,39,7.5335
0.005,1000,40,1.0246
0.005,1000,41,1.0203
0.005,1000,42,0.80615
0.005,1000,43,0.80469
0.005,1000,44,0.8021
0.005,1000,45,0.80142
0.005,1000,46,0.87459
0.005,1000,47,0.80062
0.005,1000,48,0.87103
0.005,1000,49,0.87164
0.005,1000,50,0.86817
0.005,1000,51,0.81041
0.005,1000,52,0.85455
0.005,1000,53,0.97743
0.005,1000,54,0.98102
0.005,1000,55,0.98221
0.005,1000,56,0.98394
0.005,1000,57,0.98455
0.005,1000,58,0.98475
0.005,1000,59,0.98497
0.005,1000,60,0.98511
0.005,1000,61,0.98543
0.005,1000,62,0.98589
0.005,1000,63,0.9788
0.005,1000,64,0.97897
0.005,1000,65,1.0178
0.005,1000,66,1.0158
0.005,1000,67,0.97798
0.005,1000,68,0.87841
0.005,1000,69,0.97927
0.005,1000,70,1.0137
0.005,1000,71,1.0135
0.005,1000,72,1.0141
0.005,1000,73,1.0147
0.005,1000,74,1.0148
0.005,1000,75,1.0132
0.005,1000,76,0.99048
0.005,1000,77,0.99469
0.005,1000,78,0.94939
0.005,1000,79,0.97529
0.005,1000,80,0.98602
0.005,1000,81,1.0093
0.005,1000,82,1.0112
0.005,1000,83,1.0134
0.005,1000,84,1.0153
0.005,1000,85,1.0165
0.005,1000,86,1.0178
0.005,1000,87,1.0191
0.005,1000,88,1.0202
0.005,1000,89,1.0211
0.005,1000,90,1.0217
0.005,1000,91,1.0223
0.005,1000,92,1.0227
0.005,1000,93,1.0233
0.005,1000,94,1.0238
0.005,1000,95,1.0242
0.005,1000,96,1.0243
0.005,1000,97,1.0245
0.005,1000,98,1.0245
0.005,1000,99,1.0243
0.005,1000,100,1.0241
0.005,1000,1,1.0288
0.005,1000,2,5.8654
0.005,1000,3,40.4976
0.005,1000,4,3.4488
0.005,1000,5,9.4816
0.005,1000,6,1.184
0.005,1000,7,3.9793
0.005,1000,8,4.3616
0.005,1000,9,4.4001
0.005,1000,10,4.4031
0.005,1000,11,4.3896
0.005,1000,12,4.3625
0.005,1000,13,4.9015
0.005,1000,14,4.8863
0.005,1000,15,4.8674
0.005,1000,16,5.8423
0.005,1000,17,6.0653
0.005,1000,18,5.9584
0.005,1000,19,5.0919
0.005,1000,20,5.2016
0.005,1000,21,5.3422
0.005,1000,22,1.0008
0.005,1000,23,1.3372
0.005,1000,24,0.9956
0.005,1000,25,0.99894
0.005,1000,26,0.85193
0.005,1000,27,0.85395
0.005,1000,28,0.77078
0.005,1000,29,0.7744
0.005,1000,30,0.78527
0.005,1000,31,0.94331
0.005,1000,32,0.77575
0.005,1000,33,0.7808
0.005,1000,34,0.77343
0.005,1000,35,0.78497
0.005,1000,36,0.88234
0.005,1000,37,0.91543
0.005,1000,38,1.0001
0.005,1000,39,0.91923
0.005,1000,40,0.83915
0.005,1000,41,0.66708
0.005,1000,42,0.71608
0.005,1000,43,0.68699
0.005,1000,44,0.84799
0.005,1000,45,0.83605
0.005,1000,46,0.83665
0.005,1000,47,0.66308
0.005,1000,48,0.6173
0.005,1000,49,0.014444
0.005,1000,50,0.024543
0.005,1000,51,0.69437
0.005,1000,52,0.17736
0.005,1000,53,0.84373
0.005,1000,54,0.84549
0.005,1000,55,0.84604
0.005,1000,56,0.84629
0.005,1000,57,0.84619
0.005,1000,58,0.84596
0.005,1000,59,0.84563
0.005,1000,60,0.84744
0.005,1000,61,0.84678
0.005,1000,62,0.014546
0.005,1000,63,0.014568
0.005,1000,64,0.014639
0.005,1000,65,0.014658
0.005,1000,66,0.014682
0.005,1000,67,0.014708
0.005,1000,68,0.018761
0.005,1000,69,0.019041
0.005,1000,70,0.019467
0.005,1000,71,1.8112
0.005,1000,72,1.8195
0.005,1000,73,0.014844
0.005,1000,74,1.0377
0.005,1000,75,1.0687
0.005,1000,76,0.014896
0.005,1000,77,0.0149
0.005,1000,78,0.014896
0.005,1000,79,0.014891
0.005,1000,80,0.014886
0.005,1000,81,0.014881
0.005,1000,82,1.1863
0.005,1000,83,5.1049
0.005,1000,84,1.1384
0.005,1000,85,0.014863
0.005,1000,86,1.5476
0.005,1000,87,1.6431
0.005,1000,88,1.7304
0.005,1000,89,1.727
0.005,1000,90,1.7257
0.005,1000,91,1.7244
0.005,1000,92,1.7267
0.005,1000,93,1.7296
0.005,1000,94,1.7313
0.005,1000,95,1.7312
0.005,1000,96,1.7323
0.005,1000,97,1.5547
0.005,1000,98,1.5166
0.005,1000,99,0.28331
0.005,1000,100,0.15768
0.005,1000,1,1.0074
0.005,1000,2,0.99969
0.005,1000,3,1.3576
0.005,1000,4,3.0398
0.005,1000,5,1.2946
0.005,1000,6,1.0436
0.005,1000,7,1.2498
0.005,1000,8,1.5752
0.005,1000,9,2.2097
0.005,1000,10,1.7208
0.005,1000,11,1.5706
0.005,1000,12,2.2839
0.005,1000,13,1.4179
0.005,1000,14,11.6094
0.005,1000,15,3.5351
0.005,1000,16,3.5409
0.005,1000,17,3.5488
0.005,1000,18,3.5553
0.005,1000,19,3.5623
0.005,1000,20,3.5721
0.005,1000,21,3.5668
0.005,1000,22,11.2571
0.005,1000,23,18.3122
0.005,1000,24,8.9894
0.005,1000,25,8.6472
0.005,1000,26,8.2929
0.005,1000,27,7.9366
0.005,1000,28,7.176
0.005,1000,29,6.641
0.005,1000,30,6.3957
0.005,1000,31,4.9782
0.005,1000,32,3.1388
0.005,1000,33,2.7251
0.005,1000,34,2.1505
0.005,1000,35,1.0034
0.005,1000,36,1.0169
0.005,1000,37,6.2176
0.005,1000,38,5.8839
0.005,1000,39,4.4189
0.005,1000,40,1.4994
0.005,1000,41,0.86608
0.005,1000,42,0.90574
0.005,1000,43,0.90234
0.005,1000,44,0.90368
0.005,1000,45,0.928
0.005,1000,46,0.92847
0.005,1000,47,0.92896
0.005,1000,48,0.92924
0.005,1000,49,0.92907
0.005,1000,50,1.3874
0.005,1000,51,1.4203
0.005,1000,52,1.4261
0.005,1000,53,0.92316
0.005,1000,54,1.3271
0.005,1000,55,1.4988
0.005,1000,56,1.7606
0.005,1000,57,0.9162
0.005,1000,58,0.91616
0.005,1000,59,0.91684
0.005,1000,60,0.90141
0.005,1000,61,0.86775
0.005,1000,62,0.86748
0.005,1000,63,0.86781
0.005,1000,64,0.88285
0.005,1000,65,0.88501
0.005,1000,66,0.88676
0.005,1000,67,0.88668
0.005,1000,68,1.0998
0.005,1000,69,1.0998
0.005,1000,70,1.1001
0.005,1000,71,1.1027
0.005,1000,72,1.1056
0.005,1000,73,1.1114
0.005,1000,74,1.1158
0.005,1000,75,1.1208
0.005,1000,76,1.1219
0.005,1000,77,1.1217
0.005,1000,78,1.1215
0.005,1000,79,1.1214
0.005,1000,80,1.1213
0.005,1000,81,1.1213
0.005,1000,82,1.1213
0.005,1000,83,1.1213
0.005,1000,84,1.122
0.005,1000,85,1.1218
0.005,1000,86,1.1217
0.005,1000,87,1.1215
0.005,1000,88,1.1244
0.005,1000,89,1.1709
0.005,1000,90,1.1531
0.005,1000,91,1.158
0.005,1000,92,1.1632
0.005,1000,93,1.1699
0.005,1000,94,1.1724
0.005,1000,95,1.1727
0.005,1000,96,1.1726
0.005,1000,97,1.1728
0.005,1000,98,1.1726
0.005,1000,99,1.1729
0.005,1000,100,1.1728
0.005,1000,1,1.0056
0.005,1000,2,62.6798
0.005,1000,3,27.8625
0.005,1000,4,11.1694
0.005,1000,5,1.2281
0.005,1000,6,1.5766
0.005,1000,7,2.0516
0.005,1000,8,1.4667
0.005,1000,9,1.5278
0.005,1000,10,2.9016
0.005,1000,11,2.9532
0.005,1000,12,7.7208
0.005,1000,13,9.6322
0.005,1000,14,2.9474
0.005,1000,15,2.9691
0.005,1000,16,2.9809
0.005,1000,17,1.5335
0.005,1000,18,15.3007
0.005,1000,19,2.931
0.005,1000,20,1.8583
0.005,1000,21,1.3153
0.005,1000,22,1.2163
0.005,1000,23,1.4451
0.005,1000,24,1.4729
0.005,1000,25,1.5339
0.005,1000,26,1.5192
0.005,1000,27,1.5059
0.005,1000,28,1.7822
0.005,1000,29,3.5836
0.005,1000,30,1.5095
0.005,1000,31,1.5215
0.005,1000,32,1.4309
0.005,1000,33,1
0.005,1000,34,1
0.005,1000,35,1.5346
0.005,1000,36,1.901
0.005,1000,37,1.8822
0.005,1000,38,1.8408
0.005,1000,39,1.7877
0.005,1000,40,1.6988
0.005,1000,41,1.0016
0.005,1000,42,1.0179
0.005,1000,43,1.044
0.005,1000,44,1.0529
0.005,1000,45,1.0542
0.005,1000,46,1.0498
0.005,1000,47,1.0405
0.005,1000,48,1.1491
0.005,1000,49,1.1333
0.005,1000,50,0.23023
0.005,1000,51,0.22928
0.005,1000,52,0.2289
0.005,1000,53,0.2287
0.005,1000,54,0.22862
0.005,1000,55,0.22863
0.005,1000,56,2.7836
0.005,1000,57,2.6418
0.005,1000,58,2.6489
0.005,1000,59,0.22988
0.005,1000,60,0.90462
0.005,1000,61,0.90487
0.005,1000,62,0.90509
0.005,1000,63,0.90528
0.005,1000,64,0.22946
0.005,1000,65,0.23044
0.005,1000,66,0.23021
0.005,1000,67,0.23004
0.005,1000,68,0.22878
0.005,1000,69,0.22899
0.005,1000,70,0.22904
0.005,1000,71,0.229
0.005,1000,72,0.22877
0.005,1000,73,0.22875
0.005,1000,74,0.22875
0.005,1000,75,0.22866
0.005,1000,76,0.22872
0.005,1000,77,0.22866
0.005,1000,78,0.22865
0.005,1000,79,0.22866
0.005,1000,80,0.22862
0.005,1000,81,0.23051
0.005,1000,82,0.23048
0.005,1000,83,0.23051
0.005,1000,84,0.23048
0.005,1000,85,0.23044
0.005,1000,86,0.2304
0.005,1000,87,0.23036
0.005,1000,88,0.23032
0.005,1000,89,0.23025
0.005,1000,90,0.23018
0.005,1000,91,0.23025
0.005,1000,92,0.23026
0.005,1000,93,0.23028
0.005,1000,94,0.23024
0.005,1000,95,0.23021
0.005,1000,96,0.23017
0.005,1000,97,0.23012
0.005,1000,98,0.23008
0.005,1000,99,0.23004
0.005,1000,100,0.22999
0.005,1000,1,1.003
0.005,1000,2,2.1186
0.005,1000,3,23.3205
0.005,1000,4,17.2076
0.005,1000,5,4.0559
0.005,1000,6,1.744
0.005,1000,7,1.1733
0.005,1000,8,1.3774
0.005,1000,9,1.4186
0.005,1000,10,0.97441
0.005,1000,11,0.97486
0.005,1000,12,1.0443
0.005,1000,13,1.4464
0.005,1000,14,1.0691
0.005,1000,15,1.1974
0.005,1000,16,1.4644
0.005,1000,17,2.4512
0.005,1000,18,9.6717
0.005,1000,19,0.98118
0.005,1000,20,0.98211
0.005,1000,21,0.98221
0.005,1000,22,1.6397
0.005,1000,23,5.711
0.005,1000,24,1.4938
0.005,1000,25,1.514
0.005,1000,26,1.6417
0.005,1000,27,0.85413
0.005,1000,28,0.85405
0.005,1000,29,0.84332
0.005,1000,30,0.79147
0.005,1000,31,1.937
0.005,1000,32,1.4827
0.005,1000,33,1.8407
0.005,1000,34,1.4824
0.005,1000,35,1.4486
0.005,1000,36,1.5472
0.005,1000,37,1.5273
0.005,1000,38,1.6329
0.005,1000,39,0.76449
0.005,1000,40,0.76485
0.005,1000,41,0.73239
0.005,1000,42,0.65968
0.005,1000,43,0.64602
0.005,1000,44,0.72881
0.005,1000,45,0.79061
0.005,1000,46,0.98977
0.005,1000,47,0.9772
0.005,1000,48,0.98037
0.005,1000,49,0.99777
0.005,1000,50,1.2564
0.005,1000,51,0.0012055
0.005,1000,52,0.0012025
0.005,1000,53,0.00069387
0.005,1000,54,0.00030204
0.005,1000,55,0.00025388
0.005,1000,56,0.00020772
0.005,1000,57,0.00016864
0.005,1000,58,0.00013461
0.005,1000,59,0.80869
0.005,1000,60,0.81872
0.005,1000,61,0.81658
0.005,1000,62,5.5137e-05
0.005,1000,63,5.2667e-05
0.005,1000,64,5.1733e-05
0.005,1000,65,4.4876e-05
0.005,1000,66,4.5265e-05
0.005,1000,67,4.3012e-05
0.005,1000,68,4.3181e-05
0.005,1000,69,3.7822e-05
0.005,1000,70,3.5654e-05
0.005,1000,71,3.2822e-05
0.005,1000,72,2.9167e-05
0.005,1000,73,2.7939e-05
0.005,1000,74,0.81657
0.005,1000,75,2.6754e-05
0.005,1000,76,2.6648e-05
0.005,1000,77,2.6697e-05
0.005,1000,78,2.6655e-05
0.005,1000,79,2.659e-05
0.005,1000,80,2.6527e-05
0.005,1000,81,2.6445e-05
0.005,1000,82,2.6315e-05
0.005,1000,83,2.6106e-05
0.005,1000,84,2.5489e-05
0.005,1000,85,2.5187e-05
0.005,1000,86,2.4777e-05
0.005,1000,87,2.3968e-05
0.005,1000,88,2.3961e-05
0.005,1000,89,2.3842e-05
0.005,1000,90,2.235e-05
0.005,1000,91,2.2056e-05
0.005,1000,92,2.235e-05
0.005,1000,93,2.265e-05
0.005,1000,94,2.5155e-05
0.005,1000,95,2.511e-05
0.005,1000,96,2.268e-05
0.005,1000,97,2.2618e-05
0.005,1000,98,2.5099e-05
0.005,1000,99,2.6776e-05
0.005,1000,100,9.3321e-06
0.005,1000,1,1.0001
0.005,1000,2,83.6093
0.005,1000,3,10.5157
0.005,1000,4,289.7039
0.005,1000,5,19.9931
0.005,1000,6,106.3332
0.005,1000,7,123.4109
0.005,1000,8,7.093
0.005,1000,9,420.4931
0.005,1000,10,496.6467
0.005,1000,11,516.2862
0.005,1000,12,661.5837
0.005,1000,13,2.2631
0.005,1000,14,1.9932
0.005,1000,15,1.5492
0.005,1000,16,1.5567
0.005,1000,17,1.2162
0.005,1000,18,1.0363
0.005,1000,19,1.1034
0.005,1000,20,1.0465
0.005,1000,21,1.1078
0.005,1000,22,1.105
0.005,1000,23,1.0372
0.005,1000,24,1.0432
0.005,1000,25,1.0496
0.005,1000,26,1.0863
0.005,1000,27,0.98663
0.005,1000,28,1.0639
0.005,1000,29,1.0725
0.005,1000,30,1.0724
0.005,1000,31,1.0723
0.005,1000,32,1.0725
0.005,1000,33,1.072
0.005,1000,34,1.061
0.005,1000,35,1.06
0.005,1000,36,1.0577
0.005,1000,37,1.0462
0.005,1000,38,1.0603
0.005,1000,39,1.0686
0.005,1000,40,1.0688
0.005,1000,41,1.0716
0.005,1000,42,1.0089
0.005,1000,43,1.0019
0.005,1000,44,0.99377
0.005,1000,45,0.99386
0.005,1000,46,0.99544
0.005,1000,47,1.0051
0.005,1000,48,1.8946
0.005,1000,49,1.588
0.005,1000,50,1.6642
0.005,1000,51,1.4618
0.005,1000,52,0.99616
0.005,1000,53,0.99575
0.005,1000,54,0.99658
0.005,1000,55,0.99638
0.005,1000,56,32.587
0.005,1000,57,135.935
0.005,1000,58,17.8564
0.005,1000,59,124.0633
0.005,1000,60,83.8648
0.005,1000,61,58.7547
0.005,1000,62,66.9234
0.005,1000,63,67.6029
0.005,1000,64,72.6285
0.005,1000,65,1.0031
0.005,1000,66,83.9677
0.005,1000,67,89.6402
0.005,1000,68,46.8617
0.005,1000,69,13.2154
0.005,1000,70,55.4284
0.005,1000,71,1.4174
0.005,1000,72,1.3177
0.005,1000,73,1.3442
0.005,1000,74,1.3414
0.005,1000,75,1.1193
0.005,1000,76,1.5199
0.005,1000,77,1.4532
0.005,1000,78,1.3272
0.005,1000,79,1.3334
0.005,1000,80,1.336
0.005,1000,81,1.3394
0.005,1000,82,1.338
0.005,1000,83,1.3415
0.005,1000,84,1.3447
0.005,1000,85,1.0913
0.005,1000,86,1.0325
0.005,1000,87,1.0476
0.005,1000,88,1.0486
0.005,1000,89,1.0396
0.005,1000,90,1.0408
0.005,1000,91,1.0484
0.005,1000,92,1.1377
0.005,1000,93,1.3404
0.005,1000,94,1.3485
0.005,1000,95,1.2541
0.005,1000,96,1.2574
0.005,1000,97,1.2602
0.005,1000,98,1.2623
0.005,1000,99,1.2635
0.005,1000,100,1.2641
0.005,1000,1,1.003
0.005,1000,2,3.6894
0.005,1000,3,4.3593
0.005,1000,4,16.9195
0.005,1000,5,5.281
0.005,1000,6,58.1099
0.005,1000,7,1.2167
0.005,1000,8,3.425
0.005,1000,9,12.0261
0.005,1000,10,774.1822
0.005,1000,11,1.5376
0.005,1000,12,9.6316
0.005,1000,13,4.8975
0.005,1000,14,1.8131
0.005,1000,15,12.0238
0.005,1000,16,3.8984
0.005,1000,17,5.9407
0.005,1000,18,6.6202
0.005,1000,19,2.9853
0.005,1000,20,2.7632
0.005,1000,21,1.0583
0.005,1000,22,1.1398
0.005,1000,23,0.98836
0.005,1000,24,5.2182
0.005,1000,25,4.8699
0.005,1000,26,4.686
0.005,1000,27,4.6551
0.005,1000,28,4.55
0.005,1000,29,0.94694
0.005,1000,30,8.5523
0.005,1000,31,0.94704
0.005,1000,32,0.94705
0.005,1000,33,0.94705
0.005,1000,34,0.94706
0.005,1000,35,0.93882
0.005,1000,36,0.85471
0.005,1000,37,0.83929
0.005,1000,38,0.83095
0.005,1000,39,0.89328
0.005,1000,40,0.80112
0.005,1000,41,0.89013
0.005,1000,42,1.0319
0.005,1000,43,0.76619
0.005,1000,44,4.7023
0.005,1000,45,0.75924
0.005,1000,46,1.6814
0.005,1000,47,0.8892
0.005,1000,48,5.8883
0.005,1000,49,0.74753
0.005,1000,50,0.74721
0.005,1000,51,0.74859
0.005,1000,52,0.74911
0.005,1000,53,0.74947
0.005,1000,54,0.75153
0.005,1000,55,0.75594
0.005,1000,56,0.74935
0.005,1000,57,1.4808
0.005,1000,58,0.81884
0.005,1000,59,0.81922
0.005,1000,60,0.81931
0.005,1000,61,0.81951
0.005,1000,62,0.82028
0.005,1000,63,0.81988
0.005,1000,64,0.82
0.005,1000,65,0.82006
0.005,1000,66,0.82004
0.005,1000,67,0.81997
0.005,1000,68,0.81986
0.005,1000,69,0.81966
0.005,1000,70,0.81942
0.005,1000,71,0.81939
0.005,1000,72,0.81916
0.005,1000,73,0.82037
0.005,1000,74,0.82021
0.005,1000,75,0.82613
