Reconstruction lambda,SNR,Data length,Log MSE on Weights
1.5,100,1,1.078
1.5,100,2,9.2966
1.5,100,3,2.5516
1.5,100,4,2.9568
1.5,100,5,6.3636
1.5,100,6,4.6246
1.5,100,7,6.5651
1.5,100,8,6.5676
1.5,100,9,5.7194
1.5,100,10,4.6391
1.5,100,11,3.8301
1.5,100,12,3.2023
1.5,100,13,2.7956
1.5,100,14,2.5542
1.5,100,15,2.1701
1.5,100,16,1.939
1.5,100,17,1.7995
1.5,100,18,1.7056
1.5,100,19,1.6585
1.5,100,20,1.6458
1.5,100,21,1.6443
1.5,100,22,1.644
1.5,100,23,1.6564
1.5,100,24,1.6828
1.5,100,25,1.7314
1.5,100,26,1.7728
1.5,100,27,1.7686
1.5,100,28,1.7669
1.5,100,29,1.7606
1.5,100,30,1.7513
1.5,100,31,1.718
1.5,100,32,1.6893
1.5,100,33,1.6707
1.5,100,34,1.6736
1.5,100,35,1.6559
1.5,100,36,1.6426
1.5,100,37,1.6329
1.5,100,38,1.6303
1.5,100,39,1.9891
1.5,100,40,2.5002
1.5,100,41,2.8438
1.5,100,42,3.0662
1.5,100,43,3.2715
1.5,100,44,3.4186
1.5,100,45,3.4124
1.5,100,46,3.408
1.5,100,47,3.4048
1.5,100,48,3.4026
1.5,100,49,3.4019
1.5,100,50,3.4031
1.5,100,51,3.4059
1.5,100,52,3.4108
1.5,100,53,3.418
1.5,100,54,3.4277
1.5,100,55,3.4402
1.5,100,56,3.4556
1.5,100,57,3.4743
1.5,100,58,3.4962
1.5,100,59,3.5215
1.5,100,60,3.5505
1.5,100,61,3.5829
1.5,100,62,3.6178
1.5,100,63,3.6577
1.5,100,64,3.7004
1.5,100,65,3.7469
1.5,100,66,3.797
1.5,100,67,3.8506
1.5,100,68,3.9071
1.5,100,69,3.9674
1.5,100,70,4.0308
1.5,100,71,4.0959
1.5,100,72,4.1634
1.5,100,73,4.2329
1.5,100,74,4.3039
1.5,100,75,4.3756
1.5,100,76,4.4487
1.5,100,77,5.4721
1.5,100,78,5.6071
1.5,100,79,5.7282
1.5,100,80,5.8916
1.5,100,81,5.9776
1.5,100,82,6.0623
1.5,100,83,6.146
1.5,100,84,6.2331
1.5,100,85,6.3151
1.5,100,86,6.396
1.5,100,87,6.4756
1.5,100,88,6.5538
1.5,100,89,6.6332
1.5,100,90,6.7133
1.5,100,91,6.7885
1.5,100,92,6.8476
1.5,100,93,6.8971
1.5,100,94,6.9447
1.5,100,95,6.9938
1.5,100,96,6.9889
1.5,100,97,7.0498
1.5,100,98,7.1115
1.5,100,99,7.3491
1.5,100,100,7.5017
1.5,100,101,7.5503
1.5,100,102,7.6588
1.5,100,103,7.7289
1.5,100,104,7.8001
1.5,100,105,7.8748
1.5,100,106,7.9465
1.5,100,107,7.9988
1.5,100,108,8.0266
1.5,100,109,8.0191
1.5,100,110,7.839
1.5,100,111,7.8619
1.5,100,112,7.8846
1.5,100,113,7.8905
1.5,100,114,6.9121
1.5,100,115,6.9296
1.5,100,116,7.0959
1.5,100,117,7.4127
1.5,100,118,7.4432
1.5,100,119,7.4767
1.5,100,120,7.5197
1.5,100,121,7.569
1.5,100,122,7.6125
1.5,100,123,7.6495
1.5,100,124,7.539
1.5,100,125,7.5525
1.5,100,126,7.5683
1.5,100,127,7.5789
1.5,100,128,7.5921
1.5,100,129,7.6188
1.5,100,130,7.6605
1.5,100,131,7.7195
1.5,100,132,7.7797
1.5,100,133,7.8414
1.5,100,134,7.8473
1.5,100,135,7.9759
1.5,100,136,8.1063
1.5,100,137,8.1326
1.5,100,138,8.1517
1.5,100,139,8.1711
1.5,100,140,8.1898
1.5,100,141,8.2068
1.5,100,142,8.203
1.5,100,143,8.2092
1.5,100,144,8.2173
1.5,100,145,8.2332
1.5,100,146,8.2496
1.5,100,147,8.2585
1.5,100,148,8.2671
1.5,100,149,8.276
1.5,100,150,8.2854
1.5,100,151,8.2996
1.5,100,152,8.3142
1.5,100,153,8.2842
1.5,100,154,8.2947
1.5,100,155,8.308
1.5,100,156,8.3213
1.5,100,157,8.3359
1.5,100,158,8.3626
1.5,100,159,8.3779
1.5,100,160,8.3457
1.5,100,161,8.3482
1.5,100,162,8.3553
1.5,100,163,8.3648
1.5,100,164,8.3838
1.5,100,165,8.4039
1.5,100,166,8.4188
1.5,100,167,8.4332
1.5,100,168,8.4422
1.5,100,169,8.4451
1.5,100,170,8.4668
1.5,100,171,8.4755
1.5,100,172,8.4863
1.5,100,173,8.4962
1.5,100,174,8.4974
1.5,100,175,8.4996
1.5,100,176,8.502
1.5,100,177,8.5044
1.5,100,178,8.5066
1.5,100,179,8.5097
1.5,100,180,8.5134
1.5,100,181,8.5163
1.5,100,182,8.5188
1.5,100,183,8.5212
1.5,100,184,8.5443
1.5,100,185,8.5463
1.5,100,186,8.5493
1.5,100,187,8.5531
1.5,100,188,8.556
1.5,100,189,8.6948
1.5,100,190,8.6354
1.5,100,191,8.5897
1.5,100,192,8.5586
1.5,100,193,8.5366
1.5,100,194,8.4624
1.5,100,195,8.4566
1.5,100,196,8.356
1.5,100,197,8.1535
1.5,100,198,7.9969
1.5,100,199,7.872
1.5,100,200,7.7264
1.5,100,201,7.642
1.5,100,202,7.5725
1.5,100,203,7.5152
1.5,100,204,7.4666
1.5,100,205,7.4349
1.5,100,206,7.1143
1.5,100,207,7.0378
1.5,100,208,6.981
1.5,100,209,6.8561
1.5,100,210,6.7539
1.5,100,211,6.438
1.5,100,212,6.2217
1.5,100,213,6.0602
1.5,100,214,5.8183
1.5,100,215,5.6117
1.5,100,216,5.4376
1.5,100,217,5.2934
1.5,100,218,5.1687
1.5,100,219,5.06
1.5,100,220,4.9648
1.5,100,221,4.881
1.5,100,222,4.8083
1.5,100,223,4.7438
1.5,100,224,4.6873
1.5,100,225,4.5943
1.5,100,226,4.4539
1.5,100,227,4.3466
1.5,100,228,4.2971
1.5,100,229,4.251
1.5,100,230,4.2076
1.5,100,231,4.1668
1.5,100,232,4.1288
1.5,100,233,4.0932
1.5,100,234,4.0598
1.5,100,235,4.0282
1.5,100,236,3.9993
1.5,100,237,3.9714
1.5,100,238,3.9424
1.5,100,239,3.8978
1.5,100,240,3.8545
1.5,100,241,3.8138
1.5,100,242,3.7776
1.5,100,243,3.7424
1.5,100,244,3.71
1.5,100,245,3.6503
1.5,100,246,3.5904
1.5,100,247,3.5326
1.5,100,248,3.4796
1.5,100,249,3.4293
1.5,100,250,3.3813
1.5,100,251,3.3366
1.5,100,252,3.2941
1.5,100,253,3.2348
1.5,100,254,3.1692
1.5,100,255,3.1111
1.5,100,256,3.0588
1.5,100,257,3.0102
1.5,100,258,2.9653
1.5,100,259,2.9238
1.5,100,260,2.8851
1.5,100,261,2.8486
1.5,100,262,2.795
1.5,100,263,2.7251
1.5,100,264,2.6684
1.5,100,265,2.6195
1.5,100,266,2.576
1.5,100,267,2.5361
1.5,100,268,2.3882
1.5,100,269,2.2631
1.5,100,270,2.153
1.5,100,271,2.0565
1.5,100,272,1.9641
1.5,100,273,1.8799
1.5,100,274,1.8055
1.5,100,275,1.7441
1.5,100,276,1.6936
1.5,100,277,1.6503
1.5,100,278,1.6137
1.5,100,279,1.5825
1.5,100,280,1.5577
1.5,100,281,1.539
1.5,100,282,1.5259
1.5,100,283,1.5171
1.5,100,284,1.5117
1.5,100,285,1.509
1.5,100,286,1.5083
1.5,100,287,1.509
1.5,100,288,1.5108
1.5,100,289,1.5132
1.5,100,290,1.5165
1.5,100,291,1.5202
1.5,100,292,1.5241
1.5,100,293,1.5284
1.5,100,294,1.5329
1.5,100,295,1.5376
1.5,100,296,1.5375
1.5,100,297,1.5358
1.5,100,298,1.5341
1.5,100,299,1.5325
1.5,100,300,1.531
1.5,100,301,1.5296
1.5,100,302,1.5284
1.5,100,303,1.5272
1.5,100,304,1.5261
1.5,100,305,1.5249
1.5,100,306,1.524
1.5,100,307,1.523
1.5,100,308,1.5223
1.5,100,309,1.5214
1.5,100,310,1.5206
1.5,100,311,1.5199
1.5,100,312,1.5192
1.5,100,313,1.5186
1.5,100,314,1.518
1.5,100,315,1.5175
1.5,100,316,1.5172
1.5,100,317,1.5166
1.5,100,318,1.575
1.5,100,319,1.7304
1.5,100,320,1.8335
1.5,100,321,1.8379
1.5,100,322,1.8376
1.5,100,323,1.8371
1.5,100,324,1.8366
1.5,100,325,1.836
1.5,100,326,1.8356
1.5,100,327,1.8351
1.5,100,328,1.8346
1.5,100,329,1.8342
1.5,100,330,1.8337
1.5,100,331,1.8332
1.5,100,332,1.8328
1.5,100,333,1.8324
1.5,100,334,1.8319
1.5,100,335,1.8315
1.5,100,336,1.8311
1.5,100,337,1.8307
1.5,100,338,1.8303
1.5,100,339,1.8298
1.5,100,340,1.8298
1.5,100,341,1.8298
1.5,100,342,1.8297
1.5,100,343,1.8294
1.5,100,344,1.8292
1.5,100,345,1.829
1.5,100,346,1.8288
1.5,100,347,1.8287
1.5,100,348,1.8289
1.5,100,349,1.8292
1.5,100,350,1.8295
1.5,100,351,1.8298
1.5,100,352,1.8302
1.5,100,353,1.8305
1.5,100,354,1.8309
1.5,100,355,1.8312
1.5,100,356,1.8315
1.5,100,357,1.8318
1.5,100,358,1.8321
1.5,100,359,1.8324
1.5,100,360,1.8326
1.5,100,361,1.8329
1.5,100,362,1.8331
1.5,100,363,1.8334
1.5,100,364,1.8337
1.5,100,365,1.8339
1.5,100,366,1.8341
1.5,100,367,1.8344
1.5,100,368,1.8347
1.5,100,369,1.8349
1.5,100,370,1.8351
1.5,100,371,1.8353
1.5,100,372,1.8355
1.5,100,373,1.8357
1.5,100,374,1.8359
1.5,100,375,1.8361
1.5,100,376,1.8364
1.5,100,377,1.8366
1.5,100,378,1.8368
1.5,100,379,1.837
1.5,100,380,1.8372
1.5,100,381,1.8374
1.5,100,382,1.8376
1.5,100,383,1.8377
1.5,100,384,1.8379
1.5,100,385,1.8381
1.5,100,386,1.8383
1.5,100,387,1.8385
1.5,100,388,1.8387
1.5,100,389,1.8388
1.5,100,390,1.839
1.5,100,391,1.8392
1.5,100,392,1.8394
1.5,100,393,1.8395
1.5,100,394,1.8398
1.5,100,395,1.84
1.5,100,396,1.8401
1.5,100,397,1.8402
1.5,100,398,1.8405
1.5,100,399,1.8406
1.5,100,400,1.8407
1.5,100,401,1.8409
1.5,100,402,1.841
1.5,100,403,1.8411
1.5,100,404,1.8411
1.5,100,405,1.841
1.5,100,406,1.841
1.5,100,407,1.8409
1.5,100,408,1.8408
1.5,100,409,1.8408
1.5,100,410,1.8407
1.5,100,411,1.8407
1.5,100,412,1.8406
1.5,100,413,1.8406
1.5,100,414,1.8406
1.5,100,415,1.8406
1.5,100,416,1.8405
1.5,100,417,1.8405
1.5,100,418,1.8405
1.5,100,419,1.8405
1.5,100,420,1.8405
1.5,100,421,1.8405
1.5,100,422,1.8405
1.5,100,423,1.8405
1.5,100,424,1.8406
1.5,100,425,1.8406
1.5,100,426,1.8406
1.5,100,427,1.8406
1.5,100,428,1.8407
1.5,100,429,1.8407
1.5,100,430,1.8408
1.5,100,431,1.8408
1.5,100,432,1.8409
1.5,100,433,1.841
1.5,100,434,1.841
1.5,100,435,1.8411
1.5,100,436,1.8412
1.5,100,437,1.8413
1.5,100,438,1.8414
1.5,100,439,1.8415
1.5,100,440,1.8415
1.5,100,441,1.8416
1.5,100,442,1.8417
1.5,100,443,1.8418
1.5,100,444,1.842
1.5,100,445,1.8421
1.5,100,446,1.8424
1.5,100,447,1.8427
1.5,100,448,1.8431
1.5,100,449,1.8435
1.5,100,450,1.8438
1.5,100,451,1.8442
1.5,100,452,1.8445
1.5,100,453,1.8447
1.5,100,454,1.8449
1.5,100,455,1.8451
1.5,100,456,1.8452
1.5,100,457,1.8454
1.5,100,458,1.8456
1.5,100,459,1.8458
1.5,100,460,1.846
1.5,100,461,1.8462
1.5,100,462,1.8464
1.5,100,463,1.8466
1.5,100,464,1.8468
1.5,100,465,1.847
1.5,100,466,1.8473
1.5,100,467,1.8476
1.5,100,468,1.8478
1.5,100,469,1.8481
1.5,100,470,1.8483
1.5,100,471,1.8486
1.5,100,472,1.8488
1.5,100,473,1.8491
1.5,100,474,1.8493
1.5,100,475,1.8496
1.5,100,476,1.8499
1.5,100,477,1.8502
1.5,100,478,1.8505
1.5,100,479,1.8508
1.5,100,480,1.8511
1.5,100,481,1.8514
1.5,100,482,1.8517
1.5,100,483,1.852
1.5,100,484,1.8523
1.5,100,485,1.8526
1.5,100,486,1.853
1.5,100,487,1.8533
1.5,100,488,1.8536
1.5,100,489,1.854
1.5,100,490,1.8543
1.5,100,491,1.8547
1.5,100,492,1.855
1.5,100,493,1.8554
1.5,100,494,1.8558
1.5,100,495,1.8561
1.5,100,496,1.8565
1.5,100,497,1.8569
1.5,100,498,1.8573
1.5,100,499,1.8577
1.5,100,500,1.8581
1.5,100,501,1.8585
1.5,100,502,1.859
1.5,100,503,1.8594
1.5,100,504,1.8598
1.5,100,505,1.8603
1.5,100,506,1.8607
1.5,100,507,1.8611
1.5,100,508,1.8616
1.5,100,509,1.862
1.5,100,510,1.8625
1.5,100,511,1.863
1.5,100,512,1.8634
1.5,100,513,1.8639
1.5,100,514,1.8644
1.5,100,515,1.8649
1.5,100,516,1.8653
1.5,100,517,1.8658
1.5,100,518,1.8663
1.5,100,519,1.8669
1.5,100,520,1.8674
1.5,100,521,1.8679
1.5,100,522,1.8685
1.5,100,523,1.869
1.5,100,524,1.8695
1.5,100,525,1.8699
1.5,100,526,1.8704
1.5,100,527,1.871
1.5,100,528,1.8715
1.5,100,529,1.8721
1.5,100,530,1.8726
1.5,100,531,1.8734
1.5,100,532,1.8738
1.5,100,533,1.8743
1.5,100,534,1.8749
1.5,100,535,1.8756
1.5,100,536,1.8762
1.5,100,537,1.8768
1.5,100,538,1.8775
1.5,100,539,1.8782
1.5,100,540,1.8788
1.5,100,541,1.8795
1.5,100,542,1.8802
1.5,100,543,1.8809
1.5,100,544,1.8816
1.5,100,545,1.8823
1.5,100,546,1.883
1.5,100,547,1.8836
1.5,100,548,1.8843
1.5,100,549,1.8851
1.5,100,550,1.8858
1.5,100,551,1.8865
1.5,100,552,1.8873
1.5,100,553,1.888
1.5,100,554,1.8887
1.5,100,555,1.8895
1.5,100,556,1.8903
1.5,100,557,1.891
1.5,100,558,1.8918
1.5,100,559,1.8926
1.5,100,560,1.8934
1.5,100,561,1.8942
1.5,100,562,1.895
1.5,100,563,1.8958
1.5,100,564,1.8967
