Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,7,7.0848e-171,1.7433e-05
0.005,0,8,3.3418e-155,1.6485e-05
0.005,0,9,6.5569e-141,1.2084e-05
0.005,0,10,2.7558e-126,1.0105e-05
0.005,0,1,0,1.0442
0.005,0,2,4.6432e-279,85.9572
0.005,0,3,8.2637e-247,1.0023
0.005,0,4,3.1691e-222,1.3567
0.005,0,5,1.0038e-203,0.73226
0.005,0,6,2.7753e-187,1.0738
0.005,0,7,2.7305e-171,4.1301e-05
0.005,0,8,2.5345e-156,2.5034e-05
0.005,0,9,8.7164e-142,2.545e-05
0.005,0,10,5.408e-127,2.5731e-05
0.005,0,1,0,1.0079
0.005,0,2,4.4048e-270,1.725
0.005,0,3,7.7088e-244,1.1711
0.005,0,4,1.0033e-222,1.0986
0.005,0,5,8.9543e-205,1.1384
0.005,0,6,2.5752e-187,4.604e-05
0.005,0,7,1.0421e-171,4.5453e-05
0.005,0,8,2.0033e-156,2.4486e-05
0.005,0,9,3.8595e-141,2.2121e-05
0.005,0,10,4.8676e-126,1.9936e-05
0.005,0,1,0,1.014
0.005,0,2,1.6268e-270,1.9954
0.005,0,3,8.1214e-246,1.0016
0.005,0,4,4.0704e-226,0.62025
0.005,0,5,4.6537e-206,0.63898
0.005,0,6,3.1921e-189,0.00020065
0.005,0,7,9.146e-173,2.3346e-05
0.005,0,8,2.5136e-157,2.4272e-05
0.005,0,9,4.9437e-143,2.273e-05
0.005,0,10,1.5202e-128,2.0849e-05
0.005,0,1,0,1.05
0.005,0,2,4.9501e-279,361.3905
0.005,0,3,1.093e-245,1.0097
0.005,0,4,3.788e-223,1.3531
0.005,0,5,1.1044e-204,1.3541
0.005,0,6,1.0152e-188,1.2522
0.005,0,7,4.1455e-172,9.5797e-05
0.005,0,8,2.8478e-157,2.9894e-05
0.005,0,9,7.8758e-142,2.7423e-05
0.005,0,10,8.6279e-128,1.9495e-05
0.005,0,1,0,1.0315
0.005,0,2,4.1499e-265,1.8841
0.005,0,3,1.4803e-239,5.0478
0.005,0,4,4.1253e-222,0.00012274
0.005,0,5,1.1549e-203,1.2037
0.005,0,6,2.4366e-186,5.3633e-05
0.005,0,7,1.0823e-170,2.3927e-05
0.005,0,8,8.0151e-155,8.0233e-06
0.005,0,9,5.706e-140,9.6895e-06
0.005,0,10,7.5609e-125,6.6512e-06
0.005,0,1,0,1.0536
0.005,0,2,5.5862e-278,155.186
0.005,0,3,5.4628e-246,1.0436
0.005,0,4,1.0365e-222,1.3481
0.005,0,5,3.492e-204,1.1189
0.005,0,6,1.0412e-187,0.00016316
0.005,0,7,4.5158e-172,9.5021e-05
0.005,0,8,7.7324e-157,3.2144e-05
0.005,0,9,1.2982e-141,2.3087e-05
0.005,0,10,2.8378e-127,2.3644e-05
0.005,0,1,0,1.0284
0.005,0,2,1.0956e-264,1.4269
0.005,0,3,2.8008e-240,1.373
0.005,0,4,1.411e-222,1.28
0.005,0,5,2.5273e-204,0.81368
0.005,0,6,1.7814e-186,4.0145e-05
0.005,0,7,5.1288e-171,1.3522e-05
0.005,0,8,3.6446e-155,9.1397e-06
0.005,0,9,2.1114e-140,9.7792e-06
0.005,0,10,6.9565e-126,6.701e-06
0.005,0,1,0,1.0305
0.005,0,2,5.2588e-264,1.1162
0.005,0,3,2.504e-241,4.5504
0.005,0,4,1.7447e-221,1.4263
0.005,0,5,1.1181e-202,7.7263e-05
0.005,0,6,2.7794e-186,0.71606
0.005,0,7,1.976e-170,1.0627e-05
0.005,0,8,3.6681e-154,9.4168e-06
0.005,0,9,1.5895e-139,1.2603e-05
0.005,0,10,2.5132e-124,1.1436e-05
0.005,0,1,0,1.0351
0.005,0,2,2.4959e-267,2.4796
0.005,0,3,1.9927e-242,2.5559
0.005,0,4,4.0225e-222,0.99982
0.005,0,5,1.4599e-203,0.9498
0.005,0,6,1.0781e-186,2.7067e-05
0.005,0,7,2.2184e-170,2.5592e-05
0.005,0,8,8.4255e-155,1.1507e-05
0.005,0,9,8.0934e-141,1.1288e-05
0.005,0,10,1.821e-126,1.2769e-05
0.005,0,1,0,1.0536
0.005,0,2,3.2906e-271,8.2671
0.005,0,3,1.0346e-244,1.0003
0.005,0,4,2.4289e-221,1.2363
0.005,0,5,3.7674e-203,0.93715
0.005,0,6,1.4717e-186,3.4896e-05
0.005,0,7,4.3328e-171,2.2239e-05
0.005,0,8,2.2852e-155,1.754e-05
0.005,0,9,2.236e-140,9.3657e-06
0.005,0,10,7.2436e-127,1.1205e-05
0.005,0,1,0,1.0314
0.005,0,2,7.7441e-276,8.9842
0.005,0,3,9.1101e-245,1.0295
0.005,0,4,1.7901e-225,1.012
0.005,0,5,3.614e-208,1.0135
0.005,0,6,5.1571e-190,0.00022151
0.005,0,7,3.2316e-173,0.00021803
0.005,0,8,5.7745e-158,5.6339e-05
0.005,0,9,5.7023e-142,3.1689e-05
