Reconstruction lambda,SNR,Data points,Fisher information, RNMSE
0.005,0,1,0,1.0277
0.005,0,2,3.4484e-273,8.1882
0.005,0,3,1.2311e-246,1.0293
0.005,0,4,4.7496e-225,0.79887
0.005,0,5,1.617e-204,1.1611
0.005,0,6,1.2498e-187,4.6839e-05
0.005,0,7,4.9317e-171,4.0639e-05
0.005,0,8,3.3512e-155,1.0698e-05
0.005,0,9,7.7333e-141,1.607e-05
0.005,0,10,4.6503e-127,1.557e-05
0.005,0,1,0,1.0452
0.005,0,2,9.078e-275,61.8413
0.005,0,3,6.6672e-244,1.0024
0.005,0,4,4.8287e-222,1.6593
0.005,0,5,1.2406e-203,1.2114
0.005,0,6,7.906e-187,3.9035e-05
0.005,0,7,1.5211e-170,1.7332e-05
0.005,0,8,1.644e-155,1.4642e-05
0.005,0,9,6.5632e-140,1.5567e-05
0.005,0,10,1.2423e-126,1.3896e-05
0.005,0,1,0,1.0055
0.005,0,2,5.6442e-268,1.0561
0.005,0,3,1.1077e-243,1.0794
0.005,0,4,7.8801e-223,1.1648
0.005,0,5,1.4506e-204,1.0159
0.005,0,6,9.8132e-188,0.0004176
0.005,0,7,7.8908e-173,0.00041078
0.005,0,8,2.8187e-157,3.5974e-05
0.005,0,9,5.0222e-142,1.3264e-05
0.005,0,10,3.9739e-127,1.4444e-05
0.005,0,1,0,1.0367
0.005,0,2,1.3908e-277,48.8286
0.005,0,3,4.8962e-246,1.1539
0.005,0,4,4.565e-223,1.3778
0.005,0,5,1.062e-204,5.7903e-05
0.005,0,6,2.1924e-188,1.2596
0.005,0,7,1.1426e-171,4.5643e-05
0.005,0,8,1.6581e-156,4.109e-05
0.005,0,9,5.7188e-142,4.8059e-05
0.005,0,10,1.7807e-127,2.5356e-05
0.005,0,1,0,1.0443
0.005,0,2,1.6021e-265,1.0569
0.005,0,3,2.2856e-239,1.0632
0.005,0,4,1.9309e-220,1.0838
0.005,0,5,2.7826e-203,1.0756
0.005,0,6,5.5502e-187,4.6612e-05
0.005,0,7,9.8411e-170,1.6293e-05
0.005,0,8,1.5892e-154,1.3363e-05
0.005,0,9,1.0973e-140,1.5433e-05
0.005,0,10,7.0436e-127,1.6002e-05
0.005,0,1,0,1.0419
0.005,0,2,2.3279e-265,1.044
0.005,0,3,2.3203e-239,1.7834
0.005,0,4,1.2334e-220,1.8696
0.005,0,5,5.4946e-204,1.1922
0.005,0,6,7.8275e-187,1.065
0.005,0,7,1.4566e-170,1.0705e-05
0.005,0,8,6.6787e-155,1.0506e-05
0.005,0,9,3.0717e-140,9.9119e-06
0.005,0,10,5.88e-126,1.0397e-05
0.005,0,1,0,1.0155
0.005,0,2,1.8082e-264,1.5304
0.005,0,3,1.2043e-238,1.0337
0.005,0,4,7.3015e-221,0.99106
0.005,0,5,2.9338e-203,1.0416
0.005,0,6,1.8925e-186,1.9147e-05
0.005,0,7,1.1966e-170,1.8096e-05
0.005,0,8,1.575e-155,1.7546e-05
0.005,0,9,6.2243e-140,7.2363e-06
0.005,0,10,5.2636e-126,7.7083e-06
0.005,0,1,0,1.0252
0.005,0,2,5.505e-270,2.5128
0.005,0,3,3.431e-241,2.4161
0.005,0,4,1.0587e-220,2.3502
0.005,0,5,7.3298e-205,1.0214
0.005,0,6,2.3393e-187,4.0617e-05
0.005,0,7,6.9149e-172,1.5469e-05
0.005,0,8,1.2528e-156,1.5479e-05
0.005,0,9,1.2122e-141,9.3122e-06
0.005,0,10,9.4217e-128,8.859e-06
0.005,0,1,0,1.0202
0.005,0,2,3.5448e-266,1.4619
0.005,0,3,1.8726e-241,1.5767
0.005,0,4,2.6162e-221,1.5832
0.005,0,5,7.1243e-203,0.73107
0.005,0,6,2.9009e-186,7.9822e-05
0.005,0,7,3.3233e-171,2.3532e-05
0.005,0,8,1.4639e-155,2.0025e-05
0.005,0,9,5.6841e-141,2.1959e-05
0.005,0,10,2.1143e-126,1.0793e-05
0.005,0,1,0,1.0333
0.005,0,2,1.5129e-268,0.99976
0.005,0,3,4.709e-236,1.0411
0.005,0,4,4.6662e-216,1.4761
0.005,0,5,1.2624e-200,0.96748
0.005,0,6,1.7252e-186,1.1234
0.005,0,7,1.6812e-174,0.00015509
0.005,0,8,6.2441e-160,8.7072e-05
0.005,0,9,6.7521e-146,3.5995e-05
0.005,0,10,8.28e-132,2.8345e-05
0.005,0,1,0,1.0169
0.005,0,2,1.1128e-266,1.0718
0.005,0,3,4.4613e-238,1.0342
0.005,0,4,1.7087e-221,1.0384
0.005,0,5,3.1555e-204,1.1381
0.005,0,6,1.2892e-187,1.0968
0.005,0,7,5.2293e-171,2.3384e-05
0.005,0,8,2.9337e-155,1.516e-05
0.005,0,9,1.9002e-140,1.9908e-05
0.005,0,10,2.0342e-126,2.0395e-05
0.005,0,1,0,1.0152
0.005,0,2,7.2095e-273,1.4319
0.005,0,3,7.2289e-244,1.3515
0.005,0,4,8.6683e-225,1.0084
0.005,0,5,1.0798e-206,0.93075
0.005,0,6,2.3063e-188,0.00021229
0.005,0,7,2.8879e-171,5.126e-05
0.005,0,8,1.5366e-155,3.3623e-05
0.005,0,9,1.4814e-140,3.1414e-05
0.005,0,10,2.4222e-126,2.4096e-05
0.005,0,1,0,1.0136
0.005,0,2,2.415e-264,1.049
0.005,0,3,5.0312e-240,2.2365
0.005,0,4,1.5532e-222,1.4886
0.005,0,5,2.6168e-203,1.035
0.005,0,6,2.9392e-186,2.6221e-05
0.005,0,7,1.2147e-169,1.2641e-05
0.005,0,8,1.8287e-154,1.1157e-05
0.005,0,9,1.9378e-139,7.9484e-06
0.005,0,10,1.312e-125,8.4696e-06
0.005,0,1,0,1.0516
0.005,0,2,9.9658e-281,1.0001
0.005,0,3,1.7621e-249,1.004
0.005,0,4,2.5283e-227,1.054
0.005,0,5,5.6798e-207,1.0844
0.005,0,6,4.9285e-189,5.7489e-05
0.005,0,7,5.0044e-172,4.0683e-05
0.005,0,8,3.7218e-157,2.515e-05
0.005,0,9,5.6927e-141,2.0943e-05
0.005,0,10,8.6215e-127,1.7544e-05
0.005,0,1,0,1.0235
0.005,0,2,2.1155e-265,1.1008
0.005,0,3,4.524e-241,1.3125
0.005,0,4,2.1661e-221,1.4946
0.005,0,5,4.4099e-203,1.2418
0.005,0,6,3.1741e-188,0.00029563
0.005,0,7,2.7124e-172,0.0001055
0.005,0,8,5.8105e-157,1.303e-05
0.005,0,9,1.3638e-140,1.1558e-05
0.005,0,10,8.2709e-127,6.2854e-06
0.005,0,1,0,1.0494
0.005,0,2,5.1536e-277,86.8599
0.005,0,3,3.1418e-241,1.308
0.005,0,4,1.3903e-218,1.2234
0.005,0,5,8.2115e-201,1.164
0.005,0,6,5.8918e-185,0.8571
0.005,0,7,5.003e-172,0.86158
0.005,0,8,2.7635e-159,3.178e-05
0.005,0,9,9.9556e-144,3.6496e-05
0.005,0,10,9.292e-129,3.1643e-05
0.005,0,1,0,1.0319
0.005,0,2,1.2841e-276,37.6253
0.005,0,3,7.7786e-247,1.0063
0.005,0,4,3.5848e-223,1.2617
0.005,0,5,2.2784e-205,1.2903
0.005,0,6,3.1982e-188,8.0519e-05
0.005,0,7,4.1044e-172,1.2689
0.005,0,8,6.8872e-157,6.447e-05
0.005,0,9,4.8838e-142,3.2909e-05
0.005,0,10,2.56e-127,3.3933e-05
0.005,0,1,0,1.018
0.005,0,2,6.5693e-265,1.0241
0.005,0,3,3.3916e-231,4.6151
0.005,0,4,2.0612e-218,1.3067
0.005,0,5,1.0636e-201,1.2677
0.005,0,6,2.1092e-186,0.0002336
0.005,0,7,5.5218e-172,0.00023328
0.005,0,8,2.691e-158,3.6861e-05
0.005,0,9,9.7592e-143,2.1982e-05
0.005,0,10,1.4467e-128,2.1608e-05
0.005,0,1,0,1.0267
0.005,0,2,4.4058e-271,2.61
0.005,0,3,7.8202e-243,2.1595
0.005,0,4,3.8573e-222,1.141
0.005,0,5,1.8861e-203,1.024
0.005,0,6,9.9471e-187,0.0001415
0.005,0,7,8.4404e-171,3.0829e-05
0.005,0,8,7.724e-156,1.9707e-05
0.005,0,9,5.1869e-141,1.5021e-05
0.005,0,10,4.4712e-126,1.746e-05
0.005,0,1,0,1.0364
0.005,0,2,6.9493e-266,1.0312
0.005,0,3,9.5493e-239,1.0492
0.005,0,4,7.7668e-219,1.0575
0.005,0,5,6.6246e-202,1.0592
0.005,0,6,1.6504e-185,4.7373e-05
0.005,0,7,3.7156e-170,2.2789e-05
0.005,0,8,3.4118e-156,2.2687e-05
0.005,0,9,9.7801e-142,1.8275e-05
0.005,0,10,7.293e-127,2.0099e-05
0.005,0,1,0,1.0662
0.005,0,2,4.0107e-278,168.76
0.005,0,3,7.3786e-245,1.0051
0.005,0,4,3.8491e-222,1.2639
0.005,0,5,1.7298e-204,1.2493
0.005,0,6,2.3792e-187,1.2277
0.005,0,7,4.2037e-171,1.7139e-05
0.005,0,8,7.9107e-156,1.944e-05
0.005,0,9,1.5406e-140,1.7298e-05
0.005,0,10,1.8162e-126,1.7423e-05
0.005,0,1,0,1.037
0.005,0,2,5.7973e-273,6.949
0.005,0,3,7.9602e-246,7.2139
0.005,0,4,1.5622e-221,1.2394
0.005,0,5,3.1491e-204,0.98617
0.005,0,6,6.5222e-187,3.0997e-05
0.005,0,7,3.6291e-171,1.9764e-05
0.005,0,8,1.0603e-155,2.4533e-05
0.005,0,9,2.0687e-141,1.5735e-05
0.005,0,10,8.121e-127,1.4016e-05
0.005,0,1,0,1.0521
0.005,0,2,5.3679e-272,25.1419
0.005,0,3,2.8012e-245,1.0043
0.005,0,4,3.5102e-222,1.0032
0.005,0,5,4.911e-204,1.0084
0.005,0,6,4.4042e-187,5.5398e-05
0.005,0,7,7.3825e-171,4.7378e-05
0.005,0,8,1.456e-155,1.2187e-05
0.005,0,9,3.5349e-141,8.4869e-06
0.005,0,10,4.639e-126,7.6414e-06
0.005,0,1,0,1.0377
0.005,0,2,3.1035e-270,6.2078
0.005,0,3,1.2e-243,1.2034
0.005,0,4,1.1477e-221,1.2043
0.005,0,5,9.2232e-203,1.0382
0.005,0,6,2.5725e-186,6.7668e-05
0.005,0,7,9.4623e-171,6.86e-05
0.005,0,8,4.4271e-155,3.1327e-05
0.005,0,9,1.9334e-141,1.0408e-05
0.005,0,10,8.669e-127,1.24e-05
0.005,0,1,0,1.0266
0.005,0,2,3.1111e-266,2.1833
0.005,0,3,5.7839e-240,1.0348
0.005,0,4,1.0904e-219,1.0011
0.005,0,5,3.4933e-202,0.00010653
0.005,0,6,6.9948e-186,9.4341e-05
0.005,0,7,1.8033e-170,2.1402e-05
0.005,0,8,1.0055e-154,2.1125e-05
0.005,0,9,7.187e-141,1.0016e-05
0.005,0,10,2.033e-126,1.3559e-05
0.005,0,1,0,1.0612
0.005,0,2,9.8823e-274,84.7533
0.005,0,3,1.2706e-245,1.2377
0.005,0,4,8.7859e-221,1.0662
0.005,0,5,2.1276e-203,5.6333e-05
0.005,0,6,9.1964e-187,1.8512e-05
0.005,0,7,2.0206e-170,2.0416e-05
0.005,0,8,2.1794e-155,1.64e-05
0.005,0,9,1.2442e-140,1.4657e-05
0.005,0,10,1.009e-126,1.2838e-05
0.005,0,1,0,1.0389
0.005,0,2,4.4519e-270,5.2487
0.005,0,3,1.378e-243,1.0194
0.005,0,4,5.7847e-221,1.3453
0.005,0,5,7.2069e-204,1.0764
0.005,0,6,1.29e-187,5.0588e-05
0.005,0,7,3.9028e-171,4.5417e-05
0.005,0,8,3.9951e-156,3.9667e-05
0.005,0,9,2.658e-141,2.9369e-05
0.005,0,10,3.2444e-127,3.3828e-05
0.005,0,1,0,1.0352
0.005,0,2,1.924e-266,1.8715
0.005,0,3,6.1049e-238,1.8071
0.005,0,4,7.3814e-220,1.2988
0.005,0,5,2.7485e-203,8.9277e-05
0.005,0,6,2.2358e-187,6.7764e-05
0.005,0,7,1.9915e-173,7.014e-05
0.005,0,8,4.457e-161,6.1978e-05
0.005,0,9,5.5666e-149,5.3359e-05
0.005,0,10,6.841e-135,2.0933e-05
0.005,0,1,0,1.0052
0.005,0,2,1.1746e-263,1.1053
0.005,0,3,7.9468e-241,1.1816
0.005,0,4,3.528e-222,1.2425
0.005,0,5,8.2565e-204,7.9876e-05
0.005,0,6,2.1268e-187,1.0954
0.005,0,7,2.0763e-171,1.2846e-05
0.005,0,8,7.5845e-156,1.4335e-05
0.005,0,9,3.7196e-141,1.7332e-05
0.005,0,10,3.0899e-127,1.5e-05
0.005,0,1,0,1.0482
0.005,0,2,6.8866e-272,7.2894
0.005,0,3,6.7988e-246,1.1804
0.005,0,4,5.0671e-221,1.4211
0.005,0,5,6.3083e-204,0.76946
0.005,0,6,2.9229e-187,7.3344e-05
0.005,0,7,1.3272e-171,3.8517e-05
0.005,0,8,8.2478e-157,2.902e-05
0.005,0,9,6.6618e-142,2.5542e-05
0.005,0,10,1.5938e-127,3.2689e-05
0.005,0,1,0,1.0399
0.005,0,2,1.3156e-267,3.2355
0.005,0,3,2.3105e-243,3.8772
0.005,0,4,1.6512e-220,1.0862
0.005,0,5,4.0846e-203,0.00033701
0.005,0,6,1.1518e-186,3.3349e-05
0.005,0,7,1.4353e-170,1.2572e-05
0.005,0,8,2.8532e-155,1.1669e-05
0.005,0,9,5.0326e-141,1.18e-05
0.005,0,10,5.3501e-127,1.0189e-05
0.005,0,1,0,1.0456
0.005,0,2,3.3569e-272,15.2538
0.005,0,3,2.7078e-245,1.0007
0.005,0,4,4.6492e-222,1.3215
0.005,0,5,8.2618e-204,1.0054
0.005,0,6,1.2694e-187,7.2538e-05
0.005,0,7,1.0249e-170,6.4503e-05
0.005,0,8,1.1894e-155,2.9374e-05
0.005,0,9,1.0698e-140,2.6622e-05
0.005,0,10,1.5132e-126,2.5924e-05
0.005,0,1,0,1.0194
0.005,0,2,1.6669e-266,1.0069
0.005,0,3,9.1049e-240,1.0382
0.005,0,4,1.0892e-219,0.94323
0.005,0,5,2.5972e-202,1.0891
0.005,0,6,8.9512e-186,1.1569
0.005,0,7,3.425e-170,2.4785e-05
0.005,0,8,7.0807e-155,1.2237e-05
0.005,0,9,9.2412e-140,1.4722e-05
0.005,0,10,1.5138e-125,5.1975e-06
0.005,0,1,0,1.0158
0.005,0,2,7.6128e-267,1.054
0.005,0,3,6.3016e-241,1.1031
0.005,0,4,1.5803e-221,1.1978
0.005,0,5,5.1268e-204,1.1456
0.005,0,6,2.2679e-186,2.5675e-05
0.005,0,7,5.7952e-171,1.5682e-05
0.005,0,8,5.2675e-156,1.0958e-05
0.005,0,9,3.3211e-141,1.0923e-05
0.005,0,10,1.0322e-127,1.0853e-05
0.005,0,1,0,1.0399
0.005,0,2,1.5073e-265,1.3675
0.005,0,3,8.9079e-238,3.6116
0.005,0,4,1.2385e-212,1.2638
0.005,0,5,1.0792e-202,0.000253
0.005,0,6,1.3588e-187,0.00024435
0.005,0,7,1.1429e-172,1.9095e-05
0.005,0,8,6.4927e-157,1.4382e-05
0.005,0,9,4.8349e-142,1.1033e-05
0.005,0,10,5.6643e-128,9.862e-06
0.005,0,1,0,1.0387
0.005,0,2,3.1798e-266,1.0818
0.005,0,3,1.7702e-240,1.2112
0.005,0,4,1.3591e-221,1.1895
0.005,0,5,3.9942e-203,1.2909
0.005,0,6,3.1599e-187,0.000118
0.005,0,7,2.2398e-171,4.603e-05
0.005,0,8,4.1439e-156,4.8489e-05
0.005,0,9,2.856e-141,7.8807e-06
0.005,0,10,2.5931e-126,6.22e-06
0.005,0,1,0,1.0302
0.005,0,2,8.9677e-275,19.358
0.005,0,3,2.9529e-246,1.0022
0.005,0,4,2.7152e-224,1.1411
0.005,0,5,8.0502e-206,0.00011381
0.005,0,6,1.1778e-187,1.2598
0.005,0,7,2.1243e-171,5.1261e-05
0.005,0,8,4.6189e-156,4.8785e-05
0.005,0,9,8.9314e-142,4.3955e-05
0.005,0,10,1.1182e-127,3.0649e-05
0.005,0,1,0,1.0382
0.005,0,2,2.0776e-275,21.3613
0.005,0,3,7.9589e-242,1.3412
0.005,0,4,7.4967e-222,1.0036
0.005,0,5,9.4377e-207,1.0013
0.005,0,6,2.1236e-188,0.00012836
0.005,0,7,2.4613e-172,0.00013587
0.005,0,8,2.4661e-157,0.00012688
0.005,0,9,6.1135e-145,0.00012193
0.005,0,10,3.2977e-133,7.8008e-05
0.005,0,1,0,1.0409
0.005,0,2,5.8436e-278,78.0739
0.005,0,3,2.2567e-246,1.0544
0.005,0,4,1.1336e-222,1.2104
0.005,0,5,5.4853e-205,0.76284
0.005,0,6,3.74e-188,1.1777
0.005,0,7,7.7211e-172,5.4413e-05
0.005,0,8,1.1698e-156,4.6911e-05
0.005,0,9,9.1195e-142,4.8779e-05
0.005,0,10,6.4774e-128,1.4546e-05
0.005,0,1,0,1.0476
0.005,0,2,1.711e-265,1.0593
0.005,0,3,5.2107e-237,1.2338
0.005,0,4,1.9993e-219,1.0783
0.005,0,5,3.5401e-202,0.00010816
0.005,0,6,5.6281e-186,0.00010484
0.005,0,7,5.7617e-170,4.063e-05
0.005,0,8,8.35e-155,2.9267e-05
0.005,0,9,3.75e-140,2.8589e-05
0.005,0,10,1.5742e-126,2.824e-05
0.005,0,1,0,1.0509
0.005,0,2,3.3196e-280,1112.2364
0.005,0,3,1.2109e-244,1.0094
0.005,0,4,4.0458e-222,1.0908
0.005,0,5,3.6545e-204,1.0936
0.005,0,6,1.7255e-187,4.3789e-05
0.005,0,7,4.3515e-171,3.9963e-05
0.005,0,8,8.3969e-156,2.0971e-05
0.005,0,9,1.7603e-140,2.3069e-05
0.005,0,10,3.2649e-127,2.1225e-05
0.005,0,1,0,1.0602
0.005,0,2,3.9952e-270,9.781
0.005,0,3,9.337e-245,1.0003
0.005,0,4,6.0532e-221,1.4138
0.005,0,5,6.8103e-203,0.97008
0.005,0,6,1.8523e-186,2.642e-05
0.005,0,7,3.2768e-170,2.719e-05
0.005,0,8,2.9889e-155,2.5663e-05
0.005,0,9,4.8165e-140,1.4279e-05
0.005,0,10,3.4112e-125,1.2632e-05
0.005,0,1,0,1.0199
0.005,0,2,1.197e-265,1.1631
0.005,0,3,1.5116e-236,4.4344
0.005,0,4,1.26e-216,2.2153
0.005,0,5,8.3883e-201,0.00021328
0.005,0,6,2.3165e-188,7.521e-05
0.005,0,7,2.3049e-172,3.4352e-05
0.005,0,8,3.023e-156,3.0452e-05
0.005,0,9,8.7937e-142,2.1512e-05
0.005,0,10,1.4181e-126,1.6993e-05
0.005,0,1,0,1.0727
0.005,0,2,5.6633e-282,1.0051
0.005,0,3,1.0896e-246,1.0211
0.005,0,4,1.4221e-223,1.1937
0.005,0,5,2.5441e-205,1.0808
0.005,0,6,1.1428e-187,1.1923
0.005,0,7,3.0115e-171,5.8713e-05
0.005,0,8,8.1917e-156,2.9072e-05
0.005,0,9,1.5239e-141,1.4759e-05
0.005,0,10,2.1654e-127,1.4294e-05
0.005,0,1,0,1.0213
0.005,0,2,9.4082e-268,1.0007
0.005,0,3,5.1327e-241,1.0414
0.005,0,4,1.1892e-220,1.0021
0.005,0,5,3.3376e-203,1.3068
0.005,0,6,4.4334e-187,2.7292e-05
0.005,0,7,1.7524e-170,2.1952e-05
0.005,0,8,6.2851e-156,1.7864e-05
0.005,0,9,3.342e-141,4.5626e-06
0.005,0,10,2.8844e-126,3.6442e-06
0.005,0,1,0,1.0186
0.005,0,2,3.9756e-267,1.0001
0.005,0,3,1.0842e-240,3.814
0.005,0,4,2.5533e-220,1.0035
0.005,0,5,6.53e-203,0.64468
0.005,0,6,1.119e-187,0.00039999
0.005,0,7,2.354e-172,1.0807
0.005,0,8,8.636e-156,3.8556e-05
0.005,0,9,1.0221e-140,1.5811e-05
0.005,0,10,2.6425e-126,1.5876e-05
0.005,0,1,0,1.0464
0.005,0,2,3.9294e-278,1.4731
0.005,0,3,4.235e-250,1.0035
0.005,0,4,4.6604e-228,1.0411
0.005,0,5,1.9289e-207,0.90985
0.005,0,6,3.0991e-189,1.2304
0.005,0,7,3.0975e-173,2.9825e-05
0.005,0,8,1.2441e-157,2.9066e-05
0.005,0,9,2.0638e-142,1.9685e-05
0.005,0,10,1.4245e-127,2.4846e-05
0.005,0,1,0,1.0255
0.005,0,2,2.9747e-271,3.5483
0.005,0,3,4.0625e-246,1.0026
0.005,0,4,3.5518e-221,1.102
0.005,0,5,9.0406e-204,0.93522
0.005,0,6,8.7039e-187,1.095
0.005,0,7,2.2315e-171,2.3011e-05
0.005,0,8,1.5022e-155,2.1553e-05
0.005,0,9,3.5444e-141,1.8326e-05
0.005,0,10,1.0549e-126,1.644e-05
0.005,0,1,0,1.0388
0.005,0,2,7.4943e-279,194.0447
0.005,0,3,8.4262e-246,1.052
0.005,0,4,1.8318e-222,1.1375
0.005,0,5,2.3038e-204,0.69145
0.005,0,6,6.4365e-188,3.4623e-05
0.005,0,7,4.3745e-172,2.9688e-05
0.005,0,8,1.572e-156,2.1762e-05
0.005,0,9,8.0636e-141,1.6133e-05
0.005,0,10,5.2594e-126,1.1525e-05
0.005,0,1,0,1.0564
0.005,0,2,3.7653e-280,746.0589
0.005,0,3,2.1619e-245,1.0018
0.005,0,4,4.9646e-223,1.1487
0.005,0,5,2.7156e-205,6.7145e-05
0.005,0,6,2.9014e-188,5.4416e-05
0.005,0,7,7.8384e-172,2.7161e-05
0.005,0,8,9.3153e-157,2.0649e-05
0.005,0,9,1.9588e-141,2.2091e-05
0.005,0,10,1.2887e-126,1.8524e-05
0.005,0,1,0,1.0318
0.005,0,2,2.5105e-272,14.5426
0.005,0,3,6.3531e-245,1.0798
0.005,0,4,1.6692e-222,1.211
0.005,0,5,1.388e-204,0.80651
0.005,0,6,7.4512e-188,1.164
0.005,0,7,1.0677e-172,3.1523e-05
0.005,0,8,1.2649e-156,3.1472e-05
0.005,0,9,1.9276e-142,3.2097e-05
0.005,0,10,3.2555e-127,1.7902e-05
0.005,0,1,0,1.0224
0.005,0,2,2.7927e-268,3.4277
0.005,0,3,1.0889e-246,2.9533
0.005,0,4,2.0507e-222,1.3633
0.005,0,5,4.4387e-204,0.73129
0.005,0,6,4.3712e-187,0.71666
0.005,0,7,3.5059e-172,0.00011663
0.005,0,8,2.1359e-157,0.00011968
0.005,0,9,2.5939e-141,2.3439e-05
0.005,0,10,5.3432e-127,2.2229e-05
0.005,0,1,0,1.0279
0.005,0,2,1.5906e-268,1.2124
0.005,0,3,5.3392e-244,1.3049
0.005,0,4,1.6153e-222,1.1424
0.005,0,5,3.3072e-204,0.7759
0.005,0,6,6.7729e-187,0.7887
0.005,0,7,1.1127e-170,2.1684e-05
0.005,0,8,1.5144e-155,2.1548e-05
0.005,0,9,3.8525e-141,1.9791e-05
0.005,0,10,2.7723e-126,2.2618e-05
0.005,0,1,0,1.0165
0.005,0,2,3.7835e-267,2.1095
0.005,0,3,7.6311e-242,1.8796
0.005,0,4,4.326e-220,1.1034
0.005,0,5,2.5012e-201,0.00016779
0.005,0,6,1.9076e-185,0.00017024
0.005,0,7,1.4991e-172,0.00010037
0.005,0,8,1.4587e-156,1.5354e-05
0.005,0,9,6.8391e-141,1.325e-05
0.005,0,10,5.71e-126,1.351e-05
0.005,0,1,0,1.0177
0.005,0,2,2.4445e-272,1.841
0.005,0,3,4.4015e-243,1.2399
0.005,0,4,1.598e-223,1.0298
0.005,0,5,9.6597e-206,1.0573
0.005,0,6,3.4158e-188,4.4254e-05
0.005,0,7,3.0339e-171,3.4687e-05
0.005,0,8,5.324e-156,3.498e-05
0.005,0,9,1.058e-140,2.071e-05
0.005,0,10,9.0587e-126,1.9062e-05
0.005,0,1,0,1.0278
0.005,0,2,2.1161e-274,28.7165
0.005,0,3,2.8264e-244,1.1785
0.005,0,4,1.3093e-222,1.218
0.005,0,5,6.9308e-204,1.3196
0.005,0,6,1.884e-187,4.6967e-05
0.005,0,7,2.3987e-171,3.2592e-05
0.005,0,8,5.0127e-156,3.0611e-05
0.005,0,9,1.3232e-141,3.1154e-05
0.005,0,10,9.3226e-128,3.0172e-05
0.005,0,1,0,1.0035
0.005,0,2,4.4774e-267,1.1649
0.005,0,3,1.4731e-242,1.0022
0.005,0,4,1.3499e-223,1.1475
0.005,0,5,2.0014e-204,1.0165
0.005,0,6,2.0715e-187,0.00021508
0.005,0,7,4.4251e-172,0.00021868
0.005,0,8,3.9957e-156,0.00017652
0.005,0,9,1.4355e-141,0.0001701
0.005,0,10,1.4582e-127,0.00017068
0.005,0,1,0,1.0403
0.005,0,2,8.9649e-276,72.5312
0.005,0,3,2.1056e-245,1.0096
0.005,0,4,4.5758e-221,1.4558
0.005,0,5,9.6122e-204,0.857
0.005,0,6,1.1379e-186,7.085e-05
0.005,0,7,6.4131e-171,4.3806e-05
0.005,0,8,1.9847e-155,4.257e-05
0.005,0,9,2.1188e-140,4.5203e-05
0.005,0,10,1.0673e-125,3.6998e-05
0.005,0,1,0,1.0202
0.005,0,2,3.9246e-267,20.0852
0.005,0,3,6.8655e-241,1.1665
0.005,0,4,1.6558e-221,0.55568
0.005,0,5,3.8266e-204,1.1147
0.005,0,6,1.2462e-186,4.0315e-05
0.005,0,7,1.5369e-171,3.3405e-05
0.005,0,8,2.235e-157,3.3855e-05
0.005,0,9,2.1611e-142,2.9437e-05
0.005,0,10,1.216e-127,2.9553e-05
0.005,0,1,0,1.0718
0.005,0,2,9.6199e-281,1292.614
0.005,0,3,3.2971e-245,1.0177
0.005,0,4,4.2159e-222,1.3554
0.005,0,5,1.7815e-204,1.1961
0.005,0,6,4.9021e-187,2.761e-05
0.005,0,7,9.0519e-171,2.4327e-05
0.005,0,8,1.7812e-155,2.312e-05
0.005,0,9,5.3615e-141,2.1598e-05
0.005,0,10,2.7454e-126,1.7325e-05
0.005,0,1,0,1.0274
0.005,0,2,1.7118e-270,6.252
0.005,0,3,1.0829e-245,1.0513
0.005,0,4,3.1259e-222,1.1678
0.005,0,5,3.2451e-204,1.1302
0.005,0,6,4.2104e-187,4.686e-05
0.005,0,7,5.3186e-171,3.8634e-05
0.005,0,8,3.1805e-156,3.0454e-05
0.005,0,9,2.901e-141,1.8398e-05
0.005,0,10,1.006e-126,1.3157e-05
0.005,0,1,0,1.0374
0.005,0,2,8.2595e-272,12.7434
0.005,0,3,6.6532e-244,1.0087
0.005,0,4,8.7365e-221,1.4659
0.005,0,5,2.5141e-203,1.2594
0.005,0,6,2.0377e-185,4.2491e-05
0.005,0,7,2.7233e-170,1.2725e-05
0.005,0,8,3.1836e-155,1.3078e-05
0.005,0,9,1.6384e-140,1.0317e-05
0.005,0,10,7.5462e-126,5.2479e-06
0.005,0,1,0,1.0206
0.005,0,2,1.4573e-271,4.4063
0.005,0,3,2.3774e-244,1.161
0.005,0,4,9.2594e-222,1.0142
0.005,0,5,8.6914e-205,1.1774
0.005,0,6,4.3766e-187,4.0368e-05
0.005,0,7,1.246e-171,4.1178e-05
0.005,0,8,1.6713e-155,3.117e-05
0.005,0,9,6.8456e-141,2.9479e-05
0.005,0,10,3.1182e-127,1.368e-05
0.005,0,1,0,1.0645
0.005,0,2,1.0527e-275,34.3316
0.005,0,3,1.4533e-246,0.59858
0.005,0,4,7.2026e-224,1.0518
0.005,0,5,1.8267e-203,1.0519
0.005,0,6,3.3368e-187,3.5539e-05
0.005,0,7,1.1334e-171,3.5222e-05
0.005,0,8,3.154e-156,1.7087e-05
0.005,0,9,7.759e-141,2.034e-05
0.005,0,10,3.388e-126,1.3206e-05
0.005,0,1,0,1.0405
0.005,0,2,2.2085e-269,4.9558
0.005,0,3,8.8761e-244,1.0417
0.005,0,4,2.6016e-221,1.259
0.005,0,5,1.8033e-204,1.0922
0.005,0,6,3.8021e-187,2.9616e-05
0.005,0,7,1.8502e-171,1.5035e-05
0.005,0,8,2.5626e-156,1.5091e-05
